Species,n_islands,SDP_t33,SDP_t33.THA,SDP_t33.noTHA,SDP_t33_Fleshy,SDP_t33_Dry,Ft33,Vt33,SDP_t21,SDP_t21.THA,SDP_t21.noTHA,SDP_t21_Fleshy,SDP_t21_Dry,Ft21,Vt21,Fruit_type,Diaspore_tested,Fleshiness,Syndrome,Syndrome_THA,length_mm,width_mm,source,length_mean_mm,width_mean_mm,shape_EI
Alternanthera ,10,31.89,,31.89,,31.89,41,77.78,0,,0,,,0,NA,Utricle,Infructescence,Dry,UNS,No-THA,0.7 to 1.2,0.6 to 1,Own observations  ,0.95,0.8,1.19
Avicennia ,9,97,97,,,97,97,100,3.33,3.33,,,3.33,3.33,100,Capsule,fruit,Dry,THA,THA,12 to 15,7 to 13,Wiggins & Porter 1971,13.5,10,1.35
Batis ,6,72,72,,72,,84,85.71,16.73,16.73,,16.73,,23,72.73,Drupe-like,fruit,Fleshy,THA,THA,10 to 25,2 to 4,Own observations  ,17.5,3,5.83
Cyperus ,2,30.12,30.12,,,30.12,90.38,33.33,37.7,37.7,,,37.7,53.85,70,Achene,seed,Dry,UNS_THA,THA,7 to 12,2,Wiggins & Porter 1971,9.5,2,4.75
Heliotropium ,10,35.57,,35.57,,35.57,56.91,62.5,10.23,,10.23,,10.23,17.53,58.33,Nutlet,seed,Dry,UNS,No-THA,0.9 to 1.5,0.6 to 1,Own observations  ,1.2,0.8,1.5
Hibiscus ,4,86.91,86.91,,,86.91,86.91,100,48.75,48.75,,,48.75,63.98,76.19,Capsule,seed,Dry,THA,THA,3 to 5,2 to 3,Own observations  ,4,2.5,1.6
Hippomane ,5,100,100,,100,,100,100,90.47,90.47,,90.47,,100,90.47,Drupe-like,fruit,Fleshy,THA_END,THA,27.05,23.12,own data; Wiggins & Porter 1971,27.05,23.12,1.17
Ipomoea ,7,83.3,83.3,,,83.3,98,85,57.13,57.13,,,57.13,85.71,66.66,Capsule,seed,Dry,THA,THA,8 to 10,6 to 8, Wiggins & Porter 1971; Own obervations,9,7,1.29
Laguncularia,8,71.5,71.5,,71.5,,71.5,100,0,0,,0,,0,NA,Drupe-like,fruit,Fleshy,THA,THA,15 to 21,7 to 9, Wiggins & Porter 1971,18,8,2.25
Lycium ,8,0,,0,0,,0,NA,0,,0,0,,0,NA,Berry,fruit,Fleshy,END,No-THA,5 to 6,4 to 5, Wiggins & Porter 1971; Own obervations,5.5,4.5,1.22
Maytenus ,9,67.05,,67.05,,67.05,74.5,90,0,,0,,0,0,NA,Capsule,fruit,Dry,END,No-THA,9.95,8.99,own data; Wiggins & Porter 1971,9.95,8.99,1.11
Nolana ,4,0,0,,0,,0,NA,0,0,,0,,0,NA,mericarp,fruit,Fleshy,THA,THA,1 to 3,NA, Wiggins & Porter 1971,2,2,1
Portulaca ,8,2.68,2.68,,,2.68,15.2,17.64,0.23,0.23,,,0.23,1.4,16.66,Capsule,seed,Dry,UNS_THA,THA,0.6,NA, Wiggins & Porter 1971,0.6,0.6,1
Prosopis,9,94.75,94.75,,,94.75,99.5,95.23,6.8,6.8,,,6.8,8.5,80,Pod ,fruit,Dry,THA,THA,90 to 250,8 to 15 , Wiggins & Porter 1971,170,11.5,14.78
Rhizophora ,10,100,100,,100,,100,100,100,100,,100,,100,100,Berry,fruit,Fleshy,THA,THA,150 to 250,10 to 20, Wiggins & Porter 1971; Own observations,200,15,13.33
Scaevola ,4,68.63,68.63,,68.63,,91.5,75,23.23,23.23,,23.23,,92.9,25,Drupe-like,fruit,Fleshy,THA_END,THA,16.46,15.32,own data; Wiggins & Porter 1971; McMullen 1999,16.46,15.32,1.07
Scutia ,8,25.14,,25.14,25.14,,43.1,58.33,0,,0,0,,0,NA,Nutlet,fruit,Fleshy,END,No-THA,7.21,6.28,own data; Wiggins & Porter 1971,7.21,6.28,1.15
Sesuvium ,10,35.6,35.6,,,35.6,89,40,9.97,9.97,,,9.97,29.9,33.33,Capsule,seed,Dry,THA,THA,1.2,NA, Wiggins & Porter 1971,1.2,1.2,1
Trianthema ,10,6.5,6.5,,,6.5,32.5,20,2.65,2.65,,,2.65,5.3,50,Capsule,seed,Dry,THA,THA,1.3 to 1.5,NA, Wiggins & Porter 1971,1.4,1.4,1
